,tweets,clean_tweet
744,"2022 bukan eranya lagi covid19, tapi eranya berburu minyak goreng.
Masa bodo ama megatron🤣",eranya covid eranya berburu minyak goreng bodo ama megatron
745,"Mau sih tapi, kalo makanannya di goreng pake minyak udah gini engga dlu deh takut kolesterol gue kumat https://t.co/7OOlVZcYwn",makanannya goreng pake minyak gini engga dlu deh takut kolesterol gue kumat
746,Kalo ngasih minyak goreng bakalan seneng ga ya,ngasih minyak goreng seneng iya
747,"@TheWimplyKids Elaaah, mau minyak goreng soalnya min abis stock dirumah",elaaah minyak goreng min abis stock dirumah
748,"Banyak, tapi yang paling bau minyak goreng ya kakinya Addy. 🤔 https://t.co/vmNSAAWbmU",bau minyak goreng iya kakinya addy
749,"Negara lain sudah berpikir advance persiapan atau ambil momentum world war 3 

Kita masih berkutat sama adzan dan Minyak goreng👍",negara berpikir advance persiapan ambil momentum world war berkutat adzan minyak goreng
750,@TheWimplyKids Ibuku pasti bahagia jika aku pulang bawa minyak goreng,ibuku bahagia pulang bawa minyak goreng
751,@raku__nn mau ambil minyak goreng eh kepake pertamax,nn ambil minyak goreng eh kepake pertamax
752,"@aalfzn Ya karena itu gua nanya pertanyaan keanehan itu masa mau berbulan-bulan langka

Kasian gaya hidup Indonesia yang berminyak ini, Antri Minyak goreng kayak lagi perang lawan zombie",iya gua nanya keanehan berbulan langka kasian gaya hidup indonesia berminyak antri minyak goreng kayak perang lawan zombie
753,"Minyak goreng
@superpowie
@sushiterash
@sweeitndsour
@sxcramouche
@tahukrespi
@taleshore
@terrevertes
@theHENDERYvlog
@theHIYYIHvlog
@thedaimty
@thenamelof
@timemuchine
@timigichi
@tiredkuliah
@tokyobays_luka
@tournesoule
@trainds
@tutticub
@ukiminowa
@unoptrusive
@useumxkkot https://t.co/7ConkgmB3W",minyak goreng luka
754,"Ngerti gak seh lek orang sampe rebutan, kesusahan oleh minyak goreng tok iku tandane opo https://t.co/GPP2upAo6I",ngerti seh lek orang sampe rebutan kesusahan minyak goreng tok iku tandane opo
